book_id,book_name
56220," 自主水下机器人"
56221," 科学的极致：漫谈人工智能"
56222," 正版 南京大学人工智能本科专业教育培养体系|8059538"
56223," 多源信息融合（第2版）"
56224," 自主移动机器人导论（第2版）（国外名校最新教材精选）"
56225," 机器人学基础 第2版"
56226," 极简算法史 从数学到机器的故事"
56227," 自动控制原理与设计（第六版）"
56228," 人工智能入门（套装共4册）"
56229," 利用机器学习开发算法交易系统"
56230," 人工智能"
56231," 传感器与检测技术（第4版）"
56232," 深入理解机器学习：从原理到算法"
56233," MATLAB仿真及其在光学课程中的应用(第2版)"
56234," 走近2050：注意力、互联网与人工智能"
56235," 移动机器人 SLAM 、目标跟踪及路径规划"
56236," 人工智能原理及其应用（第4版）"
56237," 情感机器"
56238," 中国人工智能2.0发展战略研究"
56239," 机器之心"
56240," 与机器人共舞（迄今为止超完整、极具可读性的人工智能史！）"
56241," 高等光学仿真（MATLAB版）--光波导，激光（第2版）"
56242," 白话深度学习与TensorFlow"
56243," 统计学习理论"
56244," Arduino机器人制作指南"
56245," 机器人自动化：建模、仿真与控制"
56246," 小创客玩转开源机器人"
56247," 计算智能"
56248," Scala机器学习：构建现实世界机器学习和深度学习项目"
56249," 人工智能 智能系统指南（原书第3版）（结合实际代码、图示、案例讲解人工智能基本知识。入门书籍内容丰富、浅显易懂）"
56250," 人人都能懂的人工智能"
56251," 脉冲神经网络原理及应用"
56252," 工业机器人工作站系统集成与应用"
56253," LMS lmagine.Lab AMESim系统建模和仿真参考手册"
56254," 从零解说人工智能：结构原理及其应用"
56255," 深度强化学习实践（影印版）"
56256," 无人机技术概论"
56257," 工业机器人实操与应用技巧"
56258," 人工智能与机器人"
56259," 人与机器——思想人工智能"
56260," Ansible自动化运维：技术与最佳实践"
56261," 人工智能入门(初级版)"
56262," 人工智能复杂问题求解的结构和策略（原书第6版）"
56263," 便携型/移动性人工智能进化论——未来的无人驾驶与交通服务"
56264," 智能控制算法及其应用"
56265," 疯狂造物：3D打印创意场景设计与制作指南"
56266," TensorFlow入门与实战"
56267," 终极智能：感知机器与人工智能的未来"
56268," 卷积神经网络的Python实现"
56269," 机器人传感器及其信息融合技术"
56270," 智能故障诊断技术MATLAB应用"
56271," 虚拟人"
56272," 机器学习与优化"
56273," 人人都应该知道的人工智能"
56274," 深度学习—高级大数据人才培养丛书"
56275," 我们最后的发明：人工智能与人类时代的终结"
56276," 工业设计人机工程 第3版"
56277," 轮式和水下机器人的建模、运动分析及路径规划"
56278," 深度学习（下）"
56279," 机器学习应用系统设计"
56280," 初识人工智能"
56281," 统计模式识别（第三版）"
56282," 虚拟现实与增强现实技术概论"
56283," 工业机器人故障诊断与预防维护实战教程"
56284," 全国工业机器人技术应用技能大赛备赛指导"
56285," 知识迁移学习方法及应用"
56286," 深度学习（上）"
56287," 最后一个人类"
56288," 商务智能（第四版）"
56289," 为什么：关于因果关系的新科学"
56290," 人工智能"
56291," 蚁群算法及其应用"
56292," 人工智能（第3版）"
56293," 多目标学习算法及其应用"
56294," 机器人驱动与控制及应用实例"
56295," 从零解说智能机器人：结构原理及其应用"
56296," 智能车设计""飞思卡尔杯""从入门到精通"
56297," 智能机器的未来：人机协作对人类的工作、生活以及知识技能的影响"
56298," 高级人工智能（第三版）"
56299," 机器人学：建模、规划与控制（国外名校最新教材精选）"
56300," 液压驱动四足仿生机器人理论、技术与实现"
56301," 机器学习 清华大学出版社"
56302," 机构学与机器人学的几何基础与旋量代数"
56303," 机器学习"
56304," 医疗机器人建模与制造"
56305," 深度学习私房菜：跟着案例学TensorFlow"
56306," 工业机器人装调与维修"
56307," 智能水下机器人海底地形匹配导航技术"
56308," 智能控制基础"
56309," Arduino机器人制作、编程与竞赛（初级）"
56310," 计算思维——计算学科导论(双色)"
56311," 开源机器人操作系统-ROS"
56312," 自然语言处理与深度学习：通过C语言模拟"
56313," 人工智能之Mixly趣味编程"
56314," 《传感器原理及应用》例题与习题"
56315," 工业机器人系统安装调试与维护"
